taz_id,count,far_estimate_q8
1.0,2,2
2.0,5,5
3.0,22,22
4.0,5,5
5.0,19,19
6.0,93,93
7.0,91,91
8.0,90,90
9.0,123,123
10.0,112,112
11.0,104,104
12.0,8,8
13.0,5,5
14.0,4,4
15.0,1,1
16.0,50,50
17.0,79,79
18.0,63,63
19.0,79,79
20.0,251,251
21.0,99,99
22.0,10,10
23.0,10,10
24.0,38,38
25.0,102,102
26.0,60,60
27.0,161,161
28.0,269,269
29.0,163,163
30.0,149,149
31.0,100,100
32.0,267,267
33.0,394,394
34.0,501,501
35.0,533,533
36.0,293,293
37.0,339,339
38.0,669,669
39.0,549,549
40.0,415,415
41.0,170,170
42.0,17,17
43.0,823,823
44.0,821,821
45.0,613,613
46.0,395,395
47.0,310,310
48.0,604,604
49.0,784,784
50.0,871,871
51.0,646,646
52.0,17,17
53.0,10,10
54.0,1558,1558
55.0,914,914
56.0,46,46
57.0,806,806
58.0,842,842
59.0,1750,1750
60.0,856,856
61.0,860,860
62.0,1295,1295
63.0,1141,1141
64.0,1270,1270
65.0,901,901
66.0,717,717
67.0,824,824
68.0,569,569
69.0,996,996
70.0,1035,1035
71.0,923,923
72.0,364,364
73.0,415,415
74.0,139,139
75.0,70,70
76.0,35,35
77.0,82,82
78.0,68,68
79.0,190,190
80.0,418,418
81.0,644,644
82.0,479,479
83.0,938,938
84.0,670,670
85.0,377,377
86.0,539,539
87.0,655,655
88.0,616,616
89.0,1444,1444
90.0,674,674
91.0,1174,1174
92.0,919,919
93.0,1539,1539
94.0,598,598
95.0,844,844
96.0,733,733
97.0,837,837
98.0,991,991
99.0,565,565
100.0,427,427
101.0,561,561
102.0,762,762
103.0,1091,1091
104.0,419,419
105.0,520,520
106.0,287,287
107.0,214,214
108.0,20,20
109.0,38,38
110.0,48,48
111.0,156,156
112.0,491,491
113.0,896,896
114.0,796,796
115.0,271,271
116.0,510,510
117.0,576,576
118.0,403,403
119.0,388,388
120.0,510,510
121.0,1068,1068
122.0,1579,1579
123.0,903,903
124.0,778,778
125.0,901,901
126.0,936,936
127.0,1228,1228
128.0,1185,1185
129.0,978,978
130.0,1255,1255
131.0,2645,2645
132.0,1133,1133
133.0,1909,1909
134.0,1959,1959
135.0,1068,1068
136.0,884,884
137.0,1424,1424
138.0,2040,2040
139.0,1165,1165
140.0,1034,1034
141.0,427,427
142.0,65,65
143.0,297,297
144.0,537,537
145.0,94,94
146.0,98,98
147.0,1097,1097
148.0,626,626
149.0,701,701
150.0,555,555
151.0,403,403
152.0,1240,1240
153.0,1027,1027
154.0,804,804
155.0,814,814
156.0,457,457
157.0,227,227
158.0,123,123
159.0,992,992
160.0,1113,1113
161.0,899,899
162.0,974,974
163.0,940,940
164.0,1582,1582
165.0,1401,1401
166.0,1954,1954
167.0,1550,1550
168.0,2469,2469
169.0,2393,2393
170.0,1923,1923
171.0,879,879
172.0,1749,1749
173.0,1241,1241
174.0,1717,1717
175.0,791,791
176.0,731,731
177.0,2113,2113
178.0,1938,1938
179.0,2254,2254
180.0,900,900
181.0,1520,1520
182.0,1959,1959
183.0,2105,2105
184.0,2810,2810
185.0,2339,2339
186.0,2430,2430
187.0,1451,1451
188.0,8,8
189.0,33,33
190.0,147,147
191.0,1398,1398
192.0,277,277
193.0,1460,1460
194.0,1451,1451
195.0,1792,1792
196.0,2002,2002
197.0,1153,1153
198.0,267,267
199.0,50,50
200.0,262,262
201.0,939,939
202.0,1465,1465
203.0,1043,1043
204.0,1449,1449
205.0,1573,1573
206.0,997,997
207.0,873,873
208.0,1255,1255
209.0,2155,2155
210.0,555,555
211.0,990,990
212.0,849,849
213.0,1861,1861
214.0,1978,1978
215.0,964,964
216.0,637,637
217.0,1291,1291
218.0,1049,1049
219.0,1761,1761
220.0,1360,1360
221.0,1267,1267
222.0,1058,1058
223.0,1155,1155
224.0,1206,1206
225.0,1312,1312
226.0,2441,2441
227.0,1652,1652
228.0,15,15
229.0,1505,1505
230.0,1608,1608
231.0,1398,1398
232.0,1698,1698
233.0,1601,1601
234.0,27,27
235.0,1146,1146
236.0,1538,1538
237.0,1319,1319
238.0,912,912
240.0,711,711
241.0,1174,1174
242.0,922,922
243.0,919,919
244.0,1051,1051
245.0,939,939
246.0,2095,2095
247.0,1099,1099
248.0,717,717
249.0,1386,1386
250.0,1245,1245
251.0,683,683
252.0,1982,1982
253.0,811,811
254.0,1927,1927
255.0,1156,1156
256.0,693,693
257.0,589,589
258.0,634,634
259.0,490,490
260.0,1136,1136
261.0,975,975
262.0,880,880
263.0,745,745
264.0,1024,1024
265.0,355,355
266.0,883,883
267.0,1013,1013
268.0,735,735
269.0,739,739
270.0,544,544
271.0,918,918
272.0,935,935
273.0,771,771
274.0,616,616
275.0,883,883
276.0,319,319
277.0,1390,1390
278.0,633,633
279.0,1047,1047
280.0,965,965
281.0,821,821
282.0,783,783
283.0,1302,1302
284.0,559,559
285.0,1123,1123
286.0,1987,1987
287.0,721,721
288.0,1163,1163
289.0,2165,2165
290.0,983,983
291.0,1071,1071
292.0,789,789
293.0,1864,1864
294.0,2156,2156
295.0,1039,1039
296.0,2229,2229
297.0,1119,1119
298.0,2324,2324
299.0,1214,1214
300.0,1019,1019
301.0,1987,1987
302.0,1636,1636
303.0,1579,1579
304.0,1692,1692
305.0,705,705
306.0,979,979
307.0,1827,1827
308.0,1319,1319
309.0,1705,1705
310.0,622,622
311.0,801,801
312.0,1520,1520
313.0,60,60
314.0,644,644
315.0,150,150
316.0,441,441
317.0,1117,1117
318.0,958,958
319.0,1166,1166
320.0,1307,1307
321.0,1036,1036
322.0,1549,1549
323.0,990,990
324.0,331,331
325.0,1165,1165
326.0,280,280
327.0,710,710
328.0,1069,1069
329.0,762,762
330.0,985,985
331.0,1141,1141
332.0,820,820
333.0,1859,1859
334.0,1232,1232
335.0,564,564
336.0,1187,1187
337.0,418,418
338.0,755,755
339.0,927,927
340.0,915,915
341.0,885,885
342.0,1500,1500
343.0,812,812
344.0,1209,1209
345.0,1464,1464
346.0,800,800
347.0,2495,2495
349.0,254,254
350.0,642,642
351.0,1066,1066
352.0,1,1
354.0,2,2
355.0,26,26
356.0,1423,1423
357.0,1634,1634
358.0,1955,1955
359.0,1279,1279
360.0,1556,1556
361.0,1641,1641
362.0,1447,1447
363.0,734,734
364.0,652,652
365.0,261,261
366.0,854,854
367.0,1569,1569
368.0,1465,1465
369.0,1507,1507
370.0,1293,1293
371.0,1069,1069
372.0,620,620
373.0,891,891
374.0,296,296
375.0,353,353
376.0,1120,1120
377.0,635,635
378.0,534,534
379.0,710,710
380.0,73,73
381.0,1435,1435
382.0,760,760
383.0,695,695
384.0,1498,1498
385.0,966,966
386.0,1053,1053
387.0,1229,1229
388.0,2106,2106
389.0,1412,1412
390.0,712,712
391.0,689,689
392.0,165,165
393.0,723,723
394.0,1210,1210
395.0,246,246
397.0,532,532
398.0,256,256
399.0,9,9
400.0,601,601
401.0,23,23
402.0,10,10
404.0,362,362
405.0,1,1
406.0,4,4
407.0,1,1
408.0,1,1
409.0,12,12
410.0,289,289
411.0,4,4
412.0,404,404
413.0,1013,1013
414.0,738,738
415.0,584,584
416.0,1425,1425
418.0,97,97
419.0,668,668
420.0,741,741
421.0,86,86
422.0,745,745
423.0,916,916
424.0,1393,1393
425.0,526,526
426.0,530,530
427.0,62,62
428.0,23,23
429.0,7,7
430.0,2,2
431.0,10,10
432.0,43,43
433.0,622,622
434.0,29,29
435.0,470,470
436.0,1167,1167
437.0,980,980
438.0,1220,1220
439.0,716,716
440.0,759,759
441.0,810,810
442.0,1061,1061
443.0,903,903
444.0,1449,1449
445.0,923,923
446.0,1025,1025
447.0,927,927
448.0,588,588
449.0,831,831
450.0,813,813
451.0,1597,1597
452.0,964,964
453.0,1955,1955
454.0,1387,1387
455.0,938,938
456.0,1248,1248
457.0,1350,1350
458.0,1033,1033
459.0,2010,2010
460.0,588,588
461.0,1398,1398
462.0,1368,1368
463.0,967,967
464.0,1313,1313
465.0,1514,1514
466.0,1377,1377
467.0,700,700
468.0,961,961
469.0,805,805
470.0,1597,1597
471.0,816,816
472.0,637,637
473.0,762,762
474.0,881,881
475.0,1085,1085
476.0,1926,1926
477.0,1805,1805
478.0,471,471
479.0,1905,1905
480.0,1113,1113
481.0,1483,1483
482.0,1437,1437
483.0,1203,1203
484.0,1729,1729
485.0,1694,1694
486.0,823,823
487.0,908,908
488.0,2074,2074
489.0,2036,2036
490.0,1268,1268
491.0,878,878
492.0,1599,1599
493.0,1903,1903
494.0,1946,1946
495.0,1924,1924
496.0,922,922
497.0,2130,2130
498.0,1375,1375
499.0,2318,2318
500.0,1252,1252
501.0,1358,1358
502.0,1007,1007
503.0,1009,1009
504.0,902,902
505.0,1509,1509
506.0,981,981
507.0,1639,1639
508.0,586,586
509.0,679,679
510.0,955,955
511.0,1867,1867
512.0,1370,1370
513.0,995,995
514.0,2410,2410
515.0,1918,1918
516.0,1318,1318
517.0,1651,1651
518.0,1675,1675
519.0,2361,2361
520.0,1311,1311
521.0,1265,1265
522.0,1730,1730
523.0,2331,2331
524.0,1901,1901
525.0,1589,1589
526.0,2285,2285
527.0,2432,2432
528.0,1540,1540
529.0,1006,1006
530.0,1160,1160
531.0,938,938
532.0,633,633
533.0,1030,1030
534.0,1245,1245
535.0,1213,1213
536.0,671,671
537.0,474,474
538.0,621,621
539.0,123,123
540.0,986,986
541.0,1605,1605
542.0,569,569
543.0,673,673
544.0,1157,1157
545.0,561,561
546.0,769,769
547.0,1142,1142
548.0,1723,1723
549.0,618,618
550.0,902,902
551.0,917,917
552.0,518,518
553.0,708,708
554.0,705,705
555.0,836,836
556.0,104,104
557.0,140,140
558.0,362,362
559.0,1375,1375
560.0,667,667
561.0,507,507
562.0,674,674
563.0,821,821
564.0,1178,1178
565.0,520,520
566.0,1218,1218
567.0,519,519
568.0,1426,1426
569.0,879,879
570.0,533,533
571.0,820,820
572.0,869,869
573.0,1024,1024
574.0,581,581
575.0,962,962
576.0,1111,1111
577.0,1047,1047
578.0,978,978
579.0,321,321
580.0,289,289
581.0,580,580
582.0,919,919
583.0,1114,1114
584.0,723,723
585.0,886,886
586.0,1097,1097
587.0,327,327
588.0,937,937
589.0,937,937
590.0,598,598
591.0,1114,1114
592.0,723,723
593.0,503,503
594.0,1064,1064
595.0,509,509
596.0,575,575
597.0,491,491
598.0,1573,1573
599.0,1283,1283
600.0,1196,1196
601.0,1563,1563
602.0,15,15
603.0,5,5
604.0,111,111
605.0,1772,1772
606.0,990,990
607.0,1047,1047
608.0,111,111
609.0,1487,1487
610.0,484,484
611.0,1437,1437
612.0,741,741
613.0,821,821
614.0,1288,1288
615.0,1162,1162
616.0,968,968
617.0,782,782
618.0,740,740
619.0,1527,1527
620.0,989,989
621.0,991,991
622.0,1375,1375
623.0,1766,1766
624.0,868,868
625.0,1246,1246
626.0,1292,1292
627.0,1329,1329
628.0,1393,1393
629.0,1470,1470
630.0,1765,1765
631.0,1040,1040
632.0,1154,1154
633.0,1737,1737
634.0,1026,1026
635.0,894,894
636.0,1230,1230
637.0,1480,1480
638.0,1149,1149
639.0,1017,1017
640.0,831,831
641.0,850,850
642.0,936,936
643.0,997,997
644.0,1076,1076
645.0,1212,1212
646.0,886,886
647.0,1285,1285
648.0,1714,1714
649.0,1072,1072
650.0,1334,1334
651.0,1501,1501
652.0,1280,1280
653.0,2756,2756
654.0,3562,3562
655.0,3642,3642
656.0,1823,1823
657.0,1258,1258
658.0,1279,1279
659.0,911,911
660.0,1005,1005
661.0,1708,1708
662.0,1347,1347
663.0,1005,1005
664.0,1759,1759
665.0,2026,2026
666.0,471,471
667.0,783,783
668.0,1680,1680
669.0,1220,1220
670.0,1764,1764
671.0,646,646
672.0,1022,1022
673.0,1222,1222
674.0,1796,1796
675.0,1559,1559
676.0,1499,1499
677.0,716,716
678.0,932,932
679.0,1113,1113
680.0,2017,2017
681.0,1067,1067
682.0,1768,1768
683.0,1339,1339
684.0,2051,2051
685.0,1145,1145
686.0,1155,1155
687.0,849,849
688.0,2023,2023
689.0,1432,1432
690.0,1906,1906
691.0,1025,1025
692.0,996,996
693.0,1356,1356
694.0,1715,1715
695.0,2562,2562
696.0,1704,1704
697.0,301,301
698.0,2147,2147
699.0,1495,1495
700.0,2082,2082
701.0,1736,1736
702.0,1880,1880
703.0,1143,1143
704.0,1106,1106
705.0,2496,2496
706.0,302,302
707.0,1122,1122
708.0,1970,1970
709.0,1172,1172
710.0,1382,1382
711.0,2449,2449
712.0,945,945
713.0,1153,1153
714.0,29,29
715.0,2020,2020
716.0,1310,1310
717.0,1667,1667
718.0,1822,1822
719.0,1391,1391
720.0,1311,1311
721.0,1485,1485
722.0,2109,2109
723.0,1360,1360
724.0,1711,1711
725.0,1375,1375
726.0,2602,2602
727.0,1028,1028
728.0,2272,2272
729.0,2023,2023
730.0,1153,1153
731.0,367,367
732.0,1461,1461
733.0,1775,1775
734.0,2214,2214
735.0,1218,1218
736.0,2224,2224
737.0,1532,1532
738.0,1712,1712
739.0,785,785
740.0,1203,1203
741.0,1379,1379
742.0,1570,1570
743.0,2481,2481
744.0,1110,1110
745.0,1150,1150
746.0,2425,2425
747.0,1194,1194
748.0,1226,1226
749.0,1039,1039
750.0,135,135
751.0,23,23
752.0,35,35
753.0,1443,1443
754.0,822,822
755.0,2593,2593
756.0,2095,2095
757.0,797,797
758.0,1339,1339
759.0,1803,1803
760.0,1588,1588
761.0,1318,1318
762.0,621,621
763.0,730,730
764.0,1615,1615
765.0,943,943
766.0,850,850
767.0,1926,1926
768.0,1877,1877
769.0,429,429
770.0,1712,1712
771.0,2230,2230
772.0,1006,1006
773.0,1202,1202
774.0,1089,1089
775.0,2083,2083
776.0,1504,1504
777.0,110,110
778.0,1039,1039
779.0,1503,1503
780.0,1028,1028
781.0,1259,1259
782.0,1873,1873
783.0,440,440
784.0,1605,1605
785.0,1526,1526
786.0,1339,1339
787.0,1806,1806
788.0,1641,1641
789.0,1262,1262
790.0,1852,1852
791.0,813,813
792.0,888,888
793.0,1213,1213
794.0,875,875
795.0,531,531
796.0,1585,1585
797.0,1417,1417
798.0,594,594
799.0,977,977
800.0,1124,1124
801.0,2007,2007
802.0,1187,1187
803.0,331,331
804.0,896,896
805.0,1880,1880
806.0,1822,1822
807.0,789,789
808.0,924,924
809.0,527,527
810.0,2265,2265
811.0,1324,1324
812.0,862,862
813.0,640,640
814.0,953,953
815.0,437,437
816.0,615,615
817.0,506,506
818.0,1208,1208
819.0,406,406
820.0,2518,2518
821.0,1138,1138
822.0,858,858
823.0,1889,1889
824.0,541,541
825.0,1027,1027
826.0,414,414
827.0,636,636
828.0,1233,1233
829.0,742,742
830.0,1089,1089
831.0,312,312
832.0,1359,1359
833.0,1417,1417
834.0,1683,1683
835.0,1576,1576
836.0,1127,1127
837.0,1450,1450
838.0,739,739
839.0,595,595
840.0,1252,1252
841.0,884,884
842.0,642,642
843.0,1415,1415
844.0,2222,2222
845.0,1976,1976
846.0,1648,1648
847.0,416,416
848.0,507,507
849.0,1295,1295
850.0,1365,1365
851.0,803,803
852.0,1914,1914
853.0,1552,1552
854.0,488,488
855.0,812,812
856.0,1537,1537
857.0,712,712
858.0,1411,1411
859.0,1304,1304
860.0,1213,1213
861.0,2255,2255
862.0,1264,1264
863.0,1026,1026
864.0,881,881
865.0,1353,1353
866.0,1450,1450
867.0,843,843
868.0,1243,1243
869.0,932,932
870.0,1290,1290
871.0,964,964
872.0,2000,2000
873.0,1240,1240
875.0,967,967
876.0,595,595
877.0,787,787
878.0,1198,1198
879.0,929,929
880.0,679,679
881.0,877,877
882.0,823,823
883.0,1208,1208
884.0,1379,1379
885.0,2113,2113
886.0,1585,1585
887.0,1014,1014
888.0,979,979
889.0,918,918
890.0,1259,1259
891.0,996,996
892.0,864,864
893.0,672,672
894.0,626,626
895.0,875,875
896.0,499,499
897.0,612,612
898.0,665,665
899.0,1709,1709
900.0,1286,1286
901.0,1173,1173
902.0,717,717
903.0,1636,1636
904.0,1434,1434
905.0,1508,1508
906.0,1258,1258
907.0,1009,1009
908.0,1064,1064
909.0,1227,1227
910.0,1885,1885
911.0,961,961
912.0,1908,1908
913.0,2514,2514
914.0,2203,2203
915.0,1308,1308
916.0,1259,1259
917.0,1730,1730
918.0,2154,2154
919.0,716,716
920.0,842,842
921.0,728,728
922.0,1361,1361
923.0,1403,1403
924.0,1007,1007
925.0,825,825
926.0,580,580
927.0,373,373
928.0,530,530
929.0,716,716
930.0,512,512
931.0,649,649
932.0,804,804
933.0,1048,1048
934.0,757,757
935.0,584,584
936.0,572,572
937.0,1114,1114
938.0,1588,1588
939.0,826,826
940.0,520,520
941.0,334,334
942.0,257,257
943.0,992,992
944.0,322,322
945.0,94,94
946.0,185,185
947.0,290,290
948.0,953,953
949.0,1245,1245
950.0,1226,1226
951.0,1743,1743
952.0,1799,1799
953.0,1191,1191
954.0,587,587
955.0,379,379
956.0,1028,1028
957.0,495,495
958.0,491,491
959.0,1016,1016
960.0,930,930
961.0,330,330
962.0,273,273
963.0,842,842
964.0,1,1
965.0,196,196
966.0,14,14
967.0,19,19
968.0,43,43
969.0,67,67
970.0,96,96
971.0,34,34
972.0,562,562
973.0,340,340
974.0,842,842
975.0,736,736
976.0,613,613
977.0,1428,1428
978.0,737,737
979.0,214,214
980.0,260,260
981.0,62,62
982.0,189,189
983.0,393,393
984.0,99,99
985.0,101,101
986.0,350,350
987.0,403,403
988.0,530,530
989.0,338,338
990.0,510,510
991.0,467,467
992.0,655,655
993.0,906,906
994.0,516,516
995.0,593,593
996.0,1028,1028
997.0,490,490
998.0,1360,1360
999.0,708,708
1000.0,1018,1018
1001.0,914,914
1002.0,348,348
1003.0,376,376
1004.0,1080,1080
1005.0,1395,1395
1006.0,644,644
1007.0,301,301
1008.0,151,151
1009.0,420,420
1010.0,575,575
1011.0,514,514
1012.0,1021,1021
1013.0,1038,1038
1014.0,257,257
1015.0,501,501
1016.0,942,942
1017.0,962,962
1018.0,153,153
1019.0,13,13
1020.0,410,410
1021.0,387,387
1022.0,712,712
1023.0,850,850
1024.0,645,645
1025.0,1284,1284
1026.0,675,675
1027.0,626,626
1028.0,1572,1572
1029.0,1485,1485
1030.0,867,867
1031.0,1507,1507
1032.0,595,595
1033.0,1518,1518
1034.0,1127,1127
1035.0,766,766
1036.0,672,672
1037.0,684,684
1039.0,827,827
1040.0,232,232
1041.0,564,564
1042.0,744,744
1043.0,1042,1042
1044.0,983,983
1045.0,1040,1040
1046.0,900,900
1047.0,741,741
1048.0,770,770
1049.0,1527,1527
1050.0,1358,1358
1051.0,595,595
1052.0,561,561
1053.0,1609,1609
1054.0,1018,1018
1055.0,1594,1594
1056.0,1254,1254
1057.0,732,732
1058.0,1454,1454
1059.0,786,786
1060.0,1419,1419
1061.0,869,869
1062.0,938,938
1063.0,1122,1122
1064.0,824,824
1065.0,2031,2031
1066.0,563,563
1067.0,1588,1588
1068.0,1062,1062
1069.0,1786,1786
1070.0,1068,1068
1071.0,1099,1099
1072.0,1080,1080
1073.0,1182,1182
1074.0,1971,1971
1075.0,668,668
1076.0,1140,1140
1077.0,1297,1297
1078.0,1193,1193
1079.0,3206,3206
1080.0,1623,1623
1081.0,1131,1131
1082.0,1335,1335
1083.0,3730,3730
1084.0,2077,2077
1085.0,1385,1385
1086.0,2065,2065
1087.0,1488,1488
1088.0,1177,1177
1089.0,1342,1342
1090.0,904,904
1091.0,984,984
1092.0,132,132
1093.0,607,607
1094.0,2463,2463
1095.0,1089,1089
1096.0,2381,2381
1097.0,1050,1050
1098.0,1930,1930
1099.0,2213,2213
1100.0,2536,2536
1101.0,1285,1285
1102.0,307,307
1103.0,2542,2542
1104.0,1293,1293
1105.0,434,434
1106.0,1242,1242
1107.0,1052,1052
1108.0,1825,1825
1109.0,2396,2396
1110.0,1880,1880
1111.0,1988,1988
1112.0,1887,1887
1113.0,146,146
1114.0,194,194
1115.0,181,181
1116.0,1196,1196
1117.0,957,957
1118.0,1490,1490
1119.0,1973,1973
1120.0,1262,1262
1121.0,1439,1439
1122.0,1016,1016
1123.0,1022,1022
1124.0,1928,1928
1125.0,1550,1550
1126.0,2186,2186
1127.0,2060,2060
1128.0,1419,1419
1129.0,1701,1701
1130.0,1275,1275
1131.0,2077,2077
1132.0,1649,1649
1133.0,2417,2417
1134.0,1428,1428
1135.0,1002,1002
1136.0,470,470
1137.0,1236,1236
1138.0,1916,1916
1139.0,1215,1215
1140.0,1056,1056
1141.0,1945,1945
1142.0,1326,1326
1143.0,1178,1178
1144.0,1105,1105
1145.0,351,351
1146.0,63,63
1147.0,1890,1890
1148.0,195,195
1149.0,1408,1408
1150.0,1310,1310
1151.0,2043,2043
1152.0,1534,1534
1153.0,1449,1449
1154.0,2348,2348
1155.0,728,728
1156.0,1273,1273
1157.0,830,830
1158.0,1623,1623
1159.0,727,727
1160.0,1687,1687
1161.0,3206,3206
1162.0,315,315
1163.0,1255,1255
1164.0,2087,2087
1165.0,2464,2464
1166.0,3794,3794
1167.0,3825,3825
1168.0,1925,1925
1169.0,1791,1791
1170.0,1499,1499
1171.0,2563,2563
1172.0,1561,1561
1173.0,1381,1381
1174.0,1546,1546
1175.0,2588,2588
1176.0,10255,10255
1177.0,6822,6822
1178.0,12176,12176
1179.0,4749,4749
1180.0,3834,3834
1181.0,1624,1624
1182.0,2962,2962
1183.0,931,931
1184.0,1376,1376
1185.0,4689,4689
1186.0,5162,5162
1187.0,2328,2328
1188.0,2211,2211
1189.0,1236,1236
1190.0,332,332
1191.0,1325,1325
1192.0,1344,1344
1193.0,1405,1405
1194.0,1260,1260
1195.0,4892,4892
1196.0,2040,2040
1197.0,590,590
1198.0,849,849
1199.0,1387,1387
1200.0,2367,2367
1201.0,1295,1295
1202.0,614,614
1203.0,1261,1261
1204.0,507,507
1205.0,817,817
1206.0,1377,1377
1207.0,1329,1329
1208.0,1280,1280
1209.0,1077,1077
1210.0,1400,1400
1211.0,1333,1333
1212.0,1346,1346
1213.0,938,938
1214.0,1167,1167
1215.0,1624,1624
1216.0,1193,1193
1217.0,1596,1596
1218.0,1470,1470
1219.0,1070,1070
1220.0,2787,2787
1221.0,1558,1558
1222.0,446,446
1223.0,663,663
1224.0,277,277
1225.0,711,711
1226.0,951,951
1227.0,1191,1191
1228.0,765,765
1229.0,1113,1113
1230.0,2052,2052
1231.0,1121,1121
1232.0,976,976
1233.0,1189,1189
1234.0,949,949
1235.0,601,601
1236.0,978,978
1237.0,922,922
1238.0,319,319
1239.0,876,876
1240.0,1544,1544
1241.0,204,204
1242.0,1804,1804
1243.0,1348,1348
1244.0,1708,1708
1245.0,1650,1650
1246.0,3224,3224
1247.0,3404,3404
1248.0,3260,3260
1249.0,1422,1422
1250.0,1225,1225
1251.0,1963,1963
1252.0,2,2
1253.0,1236,1236
1254.0,1897,1897
1255.0,1189,1189
1256.0,1041,1041
1257.0,1955,1955
1258.0,898,898
1259.0,1029,1029
1260.0,652,652
1261.0,1233,1233
1262.0,348,348
1263.0,642,642
1264.0,787,787
1265.0,736,736
1266.0,1275,1275
1267.0,1192,1192
1268.0,3350,3350
1269.0,2714,2714
1270.0,4999,4999
1271.0,4407,4407
1273.0,1108,1108
1274.0,1409,1409
1275.0,900,900
1276.0,866,866
1277.0,1866,1866
1278.0,1080,1080
1279.0,1459,1459
1280.0,3703,3703
1281.0,1034,1034
1282.0,3858,3858
1283.0,1380,1380
1284.0,1787,1787
1285.0,1828,1828
1286.0,1586,1586
1287.0,338,338
1288.0,3292,3292
1289.0,1811,1811
1290.0,4298,4298
1291.0,2164,2164
1292.0,2890,2890
1293.0,1625,1625
1294.0,2,2
1295.0,1977,1977
1296.0,1379,1379
1297.0,1806,1806
1298.0,465,465
1299.0,571,571
1300.0,581,581
1301.0,954,954
1302.0,1827,1827
1303.0,1165,1165
1304.0,1926,1926
1305.0,1122,1122
1306.0,2979,2979
1307.0,2049,2049
1308.0,1576,1576
1309.0,1248,1248
1310.0,724,724
1311.0,3180,3180
1312.0,784,784
1313.0,1356,1356
1314.0,1772,1772
1315.0,797,797
1316.0,565,565
1317.0,1176,1176
1318.0,1970,1970
1319.0,2300,2300
1320.0,1843,1843
1321.0,1843,1843
1322.0,1928,1928
1323.0,2761,2761
1324.0,871,871
1325.0,2110,2110
1326.0,1704,1704
1327.0,1546,1546
1328.0,1126,1126
1329.0,1060,1060
1330.0,1193,1193
1331.0,1214,1214
1332.0,1330,1330
1333.0,1144,1144
1334.0,1528,1528
1335.0,1958,1958
1336.0,4033,4033
1337.0,1262,1262
1338.0,904,904
1339.0,1599,1599
1340.0,1514,1514
1341.0,1454,1454
1342.0,981,981
1343.0,983,983
1344.0,852,852
1345.0,772,772
1346.0,1015,1015
1347.0,1538,1538
1348.0,927,927
1349.0,1564,1564
1350.0,1686,1686
1351.0,1269,1269
1352.0,1432,1432
1353.0,3057,3057
1354.0,3128,3128
1355.0,1022,1022
1356.0,1586,1586
1357.0,1037,1037
1358.0,1586,1586
1359.0,1963,1963
1360.0,786,786
1361.0,313,313
1362.0,991,991
1363.0,587,587
1364.0,1069,1069
1365.0,1695,1695
1366.0,3525,3525
1367.0,1435,1435
1368.0,1185,1185
1369.0,1724,1724
1370.0,2611,2611
1371.0,1409,1409
1372.0,1052,1052
1373.0,799,799
1374.0,1197,1197
1375.0,1771,1771
1376.0,1265,1265
1377.0,878,878
1378.0,1491,1491
1379.0,971,971
1380.0,1823,1823
1381.0,2602,2602
1382.0,2026,2026
1383.0,1771,1771
1384.0,1968,1968
1385.0,1277,1277
1386.0,1199,1199
1387.0,1454,1454
1388.0,1294,1294
1389.0,2435,2435
1390.0,2631,2631
1391.0,2273,2273
1392.0,1760,1760
1393.0,1681,1681
1394.0,2719,2719
1395.0,2068,2068
1396.0,3471,3471
1397.0,2045,2045
1398.0,1438,1438
1399.0,1001,1001
1400.0,710,710
1401.0,999,999
1402.0,3070,3070
1403.0,3967,3967
1404.0,1108,1108
1405.0,966,966
1406.0,703,703
1407.0,1179,1179
1408.0,1981,1981
1409.0,2648,2648
1410.0,1720,1720
1411.0,1960,1960
1412.0,2964,2964
1413.0,1084,1084
1414.0,2729,2729
1415.0,1471,1471
1416.0,1335,1335
1417.0,139,139
1418.0,1733,1733
1419.0,1154,1154
1420.0,2734,2734
1421.0,2101,2101
1422.0,2244,2244
1423.0,2390,2390
1424.0,880,880
1425.0,2011,2011
1426.0,2280,2280
1427.0,1819,1819
1428.0,1328,1328
1429.0,1460,1460
1430.0,1270,1270
1431.0,2398,2398
1432.0,1596,1596
1433.0,1146,1146
1434.0,2231,2231
1435.0,908,908
1436.0,1650,1650
1437.0,2188,2188
1438.0,1828,1828
1440.0,2255,2255
1441.0,1870,1870
1442.0,2175,2175
1443.0,1495,1495
1444.0,1124,1124
1445.0,1748,1748
1446.0,2189,2189
1447.0,817,817
1448.0,2989,2989
1449.0,240,240
1450.0,2620,2620
1451.0,2014,2014
1452.0,1761,1761
1453.0,296,296
1454.0,1640,1640
